document_id,document_text,ground_truth_class,ground_truth_fields,ground_truth_pii,notes
FIN005,"INVOICE
Invoice #: INV-2024-4401
Date: April 2, 2024
Due Date: May 2, 2024

FROM:
Apex Digital Marketing Agency
3300 Fillmore Street, Suite 100
Chicago, IL 60614
Phone: (312) 555-2100
Email: invoices@apexdigital.com
Tax ID: 36-7712345

BILL TO:
Nathan Brooks
Chief Marketing Officer
Pinnacle Retail Group
400 N Michigan Avenue, Suite 1200
Chicago, IL 60611
Email: nathan.brooks@pinnacleretail.com
Phone: (312) 555-8844

SERVICES:
1. Social Media Campaign Management (April) — $4,200.00
2. SEO Optimization Package — $1,800.00
3. Google Ads Management (30 days) — $2,500.00
4. Content Creation (10 blog posts) — $1,500.00
5. Analytics Dashboard Setup — $700.00

Subtotal: $10,700.00
Sales Tax (10.25%): $1,096.75
TOTAL DUE: $11,796.75

Payment: ACH Transfer preferred
Bank: Chase Bank | Account: 7788990011 | Routing: 071000013
Late fee: 2% per month after due date",financial_document,"{""document_number"": ""INV-2024-4401"", ""document_date"": ""2024-04-02"", ""due_date"": ""2024-05-02"", ""issuer_name"": ""Apex Digital Marketing Agency"", ""issuer_address"": ""3300 Fillmore Street, Suite 100, Chicago, IL 60614"", ""recipient_name"": ""Nathan Brooks"", ""recipient_address"": ""400 N Michigan Avenue, Suite 1200, Chicago, IL 60611"", ""total_amount"": 11796.75, ""tax_amount"": 1096.75, ""currency"": ""USD"", ""payment_method"": ""ACH Transfer"", ""line_items"": [""Social Media Campaign Management - $4200"", ""SEO Optimization - $1800"", ""Google Ads Management - $2500"", ""Content Creation - $1500"", ""Analytics Setup - $700""]}","[{""type"": ""NAME"", ""value"": ""Nathan Brooks""}, {""type"": ""EMAIL"", ""value"": ""invoices@apexdigital.com""}, {""type"": ""EMAIL"", ""value"": ""nathan.brooks@pinnacleretail.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(312) 555-2100""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(312) 555-8844""}, {""type"": ""LOCATION"", ""value"": ""3300 Fillmore Street, Suite 100, Chicago, IL 60614""}, {""type"": ""LOCATION"", ""value"": ""400 N Michigan Avenue, Suite 1200, Chicago, IL 60611""}, {""type"": ""US_BANK_NUMBER"", ""value"": ""7788990011""}]",Digital marketing agency invoice with multiple services
FIN006,"PURCHASE ORDER
PO Number: PO-2024-0987
PO Date: January 22, 2024
Delivery Date: February 15, 2024

VENDOR:
TechSupply Wholesale Inc.
9800 Industrial Blvd
Dallas, TX 75201
Phone: (214) 555-3300
Email: orders@techsupply.com

SHIP TO:
GlobalTech Manufacturing
Attn: Amanda Rivera, Procurement
2500 Commerce Drive
Houston, TX 77002
Phone: (713) 555-6600

ITEMS ORDERED:
1. Laptop (Dell XPS 15) x 20 = $32,000.00
2. Docking Station x 20 = $4,000.00
3. Wireless Mouse & Keyboard x 20 = $1,200.00
4. External SSD 1TB x 20 = $2,800.00
5. Monitor 27"" 4K x 10 = $5,500.00

Subtotal: $45,500.00
Shipping & Handling: $350.00
Tax Exempt (Manufacturing): $0.00
TOTAL: $45,850.00

Terms: Net 45
Authorized by: James Kim, VP Operations
Signature: ___________________",financial_document,"{""document_number"": ""PO-2024-0987"", ""document_date"": ""2024-01-22"", ""due_date"": ""2024-03-08"", ""issuer_name"": ""GlobalTech Manufacturing"", ""issuer_address"": ""2500 Commerce Drive, Houston, TX 77002"", ""recipient_name"": ""TechSupply Wholesale Inc."", ""recipient_address"": ""9800 Industrial Blvd, Dallas, TX 75201"", ""total_amount"": 45850.0, ""tax_amount"": 0.0, ""currency"": ""USD"", ""payment_method"": ""Net 45"", ""line_items"": [""Dell XPS 15 x20 - $32000"", ""Docking Station x20 - $4000"", ""Mouse & Keyboard x20 - $1200"", ""External SSD x20 - $2800"", ""Monitor 27 x10 - $5500""]}","[{""type"": ""NAME"", ""value"": ""Amanda Rivera""}, {""type"": ""NAME"", ""value"": ""James Kim""}, {""type"": ""EMAIL"", ""value"": ""orders@techsupply.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(214) 555-3300""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(713) 555-6600""}, {""type"": ""LOCATION"", ""value"": ""9800 Industrial Blvd, Dallas, TX 75201""}, {""type"": ""LOCATION"", ""value"": ""2500 Commerce Drive, Houston, TX 77002""}]",Purchase order for IT hardware equipment
FIN007,"CREDIT CARD STATEMENT
American Express | Statement Period: March 1-31, 2024
Statement Date: April 3, 2024
Account Number: XXXX-XXXXX-X4421

Account Holder: Dr. Patricia Wong
500 Lake Shore Drive, Apt 18A
Chicago, IL 60611

Credit Limit: $25,000 | Available Credit: $18,342.15
Previous Balance: $3,200.00
Payments: -$3,200.00
New Charges: $6,657.85
Fees: $0.00
TOTAL AMOUNT DUE: $6,657.85
Minimum Payment: $150.00
Payment Due Date: April 28, 2024

TRANSACTIONS:
Mar 03 - United Airlines - $1,245.00
Mar 07 - Marriott Chicago - $892.00
Mar 10 - Amazon Business - $334.50
Mar 15 - Whole Foods Market - $187.35
Mar 18 - Apple Store - $1,299.00
Mar 22 - Uber (x12 rides) - $340.00
Mar 28 - Restaurant Le Bernardin - $560.00
Mar 30 - CVS Pharmacy - $80.00
Mar 31 - Spotify Premium - $9.99 (x2)
Note: 64 pts rewards earned this period

Customer Service: 1-800-528-4800
Online: americanexpress.com",financial_document,"{""document_number"": ""XXXX-XXXXX-X4421"", ""document_date"": ""2024-04-03"", ""due_date"": ""2024-04-28"", ""issuer_name"": ""American Express"", ""issuer_address"": ""New York, NY"", ""recipient_name"": ""Dr. Patricia Wong"", ""recipient_address"": ""500 Lake Shore Drive, Apt 18A, Chicago, IL 60611"", ""total_amount"": 6657.85, ""tax_amount"": 0.0, ""currency"": ""USD"", ""payment_method"": ""Credit Card""}","[{""type"": ""NAME"", ""value"": ""Patricia Wong""}, {""type"": ""LOCATION"", ""value"": ""500 Lake Shore Drive, Apt 18A, Chicago, IL 60611""}, {""type"": ""PHONE_NUMBER"", ""value"": ""1-800-528-4800""}]",Credit card statement with transaction history
FIN008,"UTILITY BILL
Pacific Gas & Electric Company (PG&E)
P.O. Box 997300, Sacramento, CA 95899
Customer Service: 1-800-743-5000

Account Number: 0987-654-3210
Service Address: 1422 Monterey Blvd, San Francisco, CA 94131
Billing Date: March 28, 2024
Due Date: April 18, 2024

Account Holder:
Marcus Johnson
1422 Monterey Blvd
San Francisco, CA 94131
Email: marcus.j@gmail.com

CURRENT CHARGES:
Electric Service (Mar 1-28): $142.50
Gas Service (Mar 1-28): $68.25
City & County Surcharge: $8.40
State Regulatory Fee: $3.15
Subtotal: $222.30
Previous Balance: $0.00 (Paid)
TOTAL DUE: $222.30

Usage:
Electric: 450 kWh (Avg daily: 16.07 kWh)
Gas: 18 therms

Paperless billing enrolled. Pay online: pge.com/pay",financial_document,"{""document_number"": ""0987-654-3210"", ""document_date"": ""2024-03-28"", ""due_date"": ""2024-04-18"", ""issuer_name"": ""Pacific Gas & Electric Company"", ""issuer_address"": ""P.O. Box 997300, Sacramento, CA 95899"", ""recipient_name"": ""Marcus Johnson"", ""recipient_address"": ""1422 Monterey Blvd, San Francisco, CA 94131"", ""total_amount"": 222.3, ""tax_amount"": 11.55, ""currency"": ""USD"", ""payment_method"": ""Online/Auto-pay""}","[{""type"": ""NAME"", ""value"": ""Marcus Johnson""}, {""type"": ""EMAIL"", ""value"": ""marcus.j@gmail.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""1-800-743-5000""}, {""type"": ""LOCATION"", ""value"": ""1422 Monterey Blvd, San Francisco, CA 94131""}]",Utility bill with usage details
FIN009,"PAYSLIP / SALARY STATEMENT
Pay Period: April 1-30, 2024
Pay Date: April 30, 2024
Employee ID: EMP-7734

Employee: Sophie Turner
Position: Senior UX Designer
Department: Product Design
123 Oak Park Ave, Austin, TX 78704

Employer: Innovate Studios LLC
500 W 6th Street, Austin, TX 78701
EIN: 73-4456789

EARNINGS:
Base Salary (Monthly): $7,916.67
Overtime (4 hrs @ $74.22/hr): $296.88
Performance Bonus: $1,000.00
Total Gross: $9,213.55

DEDUCTIONS:
Federal Income Tax: -$1,842.71
State Income Tax (TX): $0.00
Social Security (6.2%): -$571.24
Medicare (1.45%): -$133.60
Health Insurance Premium: -$220.00
401(k) Contribution (6%): -$552.81
Total Deductions: -$3,320.36

NET PAY: $5,893.19
Direct Deposit: Chase Bank ****6622

YTD Gross: $36,854.20 | YTD Tax: $9,213.30",financial_document,"{""document_number"": ""EMP-7734"", ""document_date"": ""2024-04-30"", ""due_date"": null, ""issuer_name"": ""Innovate Studios LLC"", ""issuer_address"": ""500 W 6th Street, Austin, TX 78701"", ""recipient_name"": ""Sophie Turner"", ""recipient_address"": ""123 Oak Park Ave, Austin, TX 78704"", ""total_amount"": 5893.19, ""tax_amount"": 1842.71, ""currency"": ""USD"", ""payment_method"": ""Direct Deposit""}","[{""type"": ""NAME"", ""value"": ""Sophie Turner""}, {""type"": ""LOCATION"", ""value"": ""123 Oak Park Ave, Austin, TX 78704""}, {""type"": ""LOCATION"", ""value"": ""500 W 6th Street, Austin, TX 78701""}]",Monthly payslip with deductions breakdown
FIN010,"RENT INVOICE
Invoice #: RENT-2024-0302
Date: March 1, 2024
Due Date: March 5, 2024

Landlord / Property Manager:
Sunset Properties LLC
8800 Sunset Blvd, Suite 300
Los Angeles, CA 90069
Phone: (310) 555-1122
Email: accounts@sunsetproperties.com

Tenant:
Oliver Zhang
2240 Canyon Drive, Apt 4B
Los Angeles, CA 90068
Phone: (213) 555-9900
Email: oliver.zhang@email.com

CHARGES:
Monthly Rent (March 2024): $3,200.00
Parking (Covered Space #12): $150.00
Pet Fee (1 dog): $75.00
Subtotal: $3,425.00
Late Fee (waived): $0.00
TOTAL DUE: $3,425.00

Payment Methods: Venmo @SunsetProps | Zelle | Check
Lease Term: Jan 1, 2024 – Dec 31, 2024",financial_document,"{""document_number"": ""RENT-2024-0302"", ""document_date"": ""2024-03-01"", ""due_date"": ""2024-03-05"", ""issuer_name"": ""Sunset Properties LLC"", ""issuer_address"": ""8800 Sunset Blvd, Suite 300, Los Angeles, CA 90069"", ""recipient_name"": ""Oliver Zhang"", ""recipient_address"": ""2240 Canyon Drive, Apt 4B, Los Angeles, CA 90068"", ""total_amount"": 3425.0, ""tax_amount"": 0.0, ""currency"": ""USD"", ""payment_method"": ""Venmo/Zelle/Check""}","[{""type"": ""NAME"", ""value"": ""Oliver Zhang""}, {""type"": ""EMAIL"", ""value"": ""accounts@sunsetproperties.com""}, {""type"": ""EMAIL"", ""value"": ""oliver.zhang@email.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(310) 555-1122""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(213) 555-9900""}, {""type"": ""LOCATION"", ""value"": ""2240 Canyon Drive, Apt 4B, Los Angeles, CA 90068""}]",Monthly rent invoice with additional charges
RES005,"CURRICULUM VITAE

ISABELLA NAKAMURA
DevOps Engineer | Cloud Infrastructure Specialist

Email: isa.nakamura@promail.com | Phone: (503) 555-4477
Location: Portland, OR 97201 | LinkedIn: linkedin.com/in/isanakamura

SUMMARY
DevOps Engineer with 7 years building and managing scalable cloud infrastructure on AWS and GCP. 
Expert in Kubernetes, Terraform, and CI/CD pipelines. Reduced deployment time by 65% at current role.

EXPERIENCE
Senior DevOps Engineer | Stripe Inc.
San Francisco, CA | March 2021 – Present
• Designed multi-region Kubernetes clusters handling 500K+ daily transactions
• Built CI/CD pipelines reducing release cycle from 2 weeks to 2 days
• Implemented GitOps practices with ArgoCD, cutting configuration drift incidents by 90%
• On-call rotation lead for 99.99% SLA payment infrastructure

DevOps Engineer | Nike Digital
Portland, OR | August 2018 – February 2021
• Migrated 40+ microservices to AWS EKS with zero downtime
• Automated infrastructure provisioning with Terraform saving 30 hrs/week
• Managed Datadog observability stack for e-commerce platform (50M monthly users)

EDUCATION
B.S. Computer Engineering
Oregon State University | Corvallis, OR | Graduated: June 2018 | GPA: 3.77

SKILLS
Cloud: AWS (Solutions Architect Certified), GCP, Azure
IaC: Terraform, Pulumi, CloudFormation
Containers: Docker, Kubernetes, Helm, ArgoCD
CI/CD: GitHub Actions, Jenkins, CircleCI
Monitoring: Datadog, Prometheus, Grafana, PagerDuty
Languages: Python, Bash, Go

CERTIFICATIONS
• AWS Certified Solutions Architect – Professional (2023)
• Certified Kubernetes Administrator (CKA) – 2022
• HashiCorp Certified: Terraform Associate – 2021",resume,"{""candidate_name"": ""Isabella Nakamura"", ""email"": ""isa.nakamura@promail.com"", ""phone"": ""(503) 555-4477"", ""address"": ""Portland, OR 97201"", ""linkedin_url"": ""linkedin.com/in/isanakamura"", ""summary"": ""DevOps Engineer with 7 years building and managing scalable cloud infrastructure on AWS and GCP. Expert in Kubernetes, Terraform, and CI/CD pipelines."", ""education"": [{""degree"": ""B.S. Computer Engineering"", ""institution"": ""Oregon State University"", ""graduation_date"": ""2018-06-01"", ""gpa"": 3.77}], ""work_experience"": [{""title"": ""Senior DevOps Engineer"", ""company"": ""Stripe Inc."", ""start_date"": ""2021-03-01"", ""end_date"": null}, {""title"": ""DevOps Engineer"", ""company"": ""Nike Digital"", ""start_date"": ""2018-08-01"", ""end_date"": ""2021-02-01""}], ""skills"": [""AWS"", ""Kubernetes"", ""Terraform"", ""Docker"", ""Python"", ""Go""], ""certifications"": [""AWS Solutions Architect Professional 2023"", ""CKA 2022"", ""HashiCorp Terraform Associate 2021""], ""languages"": [""English""]}","[{""type"": ""NAME"", ""value"": ""Isabella Nakamura""}, {""type"": ""EMAIL"", ""value"": ""isa.nakamura@promail.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(503) 555-4477""}, {""type"": ""LOCATION"", ""value"": ""Portland, OR 97201""}]",Senior DevOps engineer resume
RES006,"RESUME

MARCUS OKONKWO
Product Manager | B2B SaaS

Contact: marcus.okonkwo@gmail.com | +1 (650) 555-7723
Address: 890 Castro Street, San Francisco, CA 94114
LinkedIn: linkedin.com/in/marcus-okonkwo-pm

PROFESSIONAL PROFILE
Strategic Product Manager with 9 years driving product vision and growth for B2B SaaS platforms. 
Launched 3 products from 0 to $10M+ ARR. PMP and CSPO certified. Cross-functional leader.

WORK HISTORY
Director of Product | Salesforce (Slack Division)
San Francisco, CA | January 2022 – Present
• Define and execute product roadmap for Slack's enterprise workflow automation features
• Grew automation DAU from 800K to 3.2M in 18 months
• Lead 12-person cross-functional squad (Eng, Design, Data, Legal)
• Drove $2.4M in net new ARR through integrations marketplace launch

Senior Product Manager | HubSpot
Cambridge, MA | June 2018 – December 2021
• Owned CRM pipeline management product used by 120K+ SMBs
• Launched 4 major feature releases generating $8M ARR
• Improved onboarding activation rate from 48% to 71%

Product Manager | Zendesk
San Francisco, CA | July 2015 – May 2018
• Managed ticketing and live chat products for enterprise segment
• Reduced customer churn by 18% through feature improvements

EDUCATION
MBA – Technology Management
Stanford Graduate School of Business | 2015 | GPA: 3.91
BSc Business Administration | UC Berkeley | 2013 | GPA: 3.79

SKILLS
Product: Roadmapping, OKRs, A/B Testing, User Research, Agile/Scrum
Analytics: Mixpanel, Amplitude, Tableau, SQL
Tools: JIRA, Confluence, Figma, Salesforce
Certifications: PMP, CSPO, Google Analytics",resume,"{""candidate_name"": ""Marcus Okonkwo"", ""email"": ""marcus.okonkwo@gmail.com"", ""phone"": ""+1 (650) 555-7723"", ""address"": ""890 Castro Street, San Francisco, CA 94114"", ""linkedin_url"": ""linkedin.com/in/marcus-okonkwo-pm"", ""summary"": ""Strategic Product Manager with 9 years driving product vision and growth for B2B SaaS platforms. Launched 3 products from 0 to $10M+ ARR."", ""education"": [{""degree"": ""MBA Technology Management"", ""institution"": ""Stanford Graduate School of Business"", ""graduation_date"": ""2015-01-01"", ""gpa"": 3.91}, {""degree"": ""BSc Business Administration"", ""institution"": ""UC Berkeley"", ""graduation_date"": ""2013-01-01"", ""gpa"": 3.79}], ""work_experience"": [{""title"": ""Director of Product"", ""company"": ""Salesforce (Slack Division)"", ""start_date"": ""2022-01-01"", ""end_date"": null}, {""title"": ""Senior Product Manager"", ""company"": ""HubSpot"", ""start_date"": ""2018-06-01"", ""end_date"": ""2021-12-01""}], ""skills"": [""Product Management"", ""OKRs"", ""A/B Testing"", ""SQL"", ""Figma"", ""JIRA""], ""certifications"": [""PMP"", ""CSPO"", ""Google Analytics""], ""languages"": [""English""]}","[{""type"": ""NAME"", ""value"": ""Marcus Okonkwo""}, {""type"": ""EMAIL"", ""value"": ""marcus.okonkwo@gmail.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""+1 (650) 555-7723""}, {""type"": ""LOCATION"", ""value"": ""890 Castro Street, San Francisco, CA 94114""}]",Senior product manager B2B SaaS resume
RES007,"BIODATA

Name: Riya Mehta
Contact: riya.mehta@outlook.com | (469) 555-2211
Address: 156 McKinney Avenue, Dallas, TX 75204
LinkedIn: linkedin.com/in/riyamehta-cy

OBJECTIVE
Cybersecurity Analyst with 4 years in threat detection, incident response, and penetration testing. 
Seeking Senior Security Engineer role at a Fortune 500 company.

PROFESSIONAL EXPERIENCE
Security Analyst II | AT&T Cybersecurity
Dallas, TX | September 2021 – Present
• Monitor SIEM (Splunk) alerts; investigate 150+ security incidents monthly
• Conduct vulnerability assessments on 2,000+ endpoint fleet
• Authored 15 threat intelligence reports adopted company-wide
• Led red team exercise exposing 3 critical misconfigurations

Junior Security Analyst | Deloitte Cyber
Dallas, TX | July 2020 – August 2021
• Performed penetration testing on web apps and internal networks
• Assisted in PCI-DSS compliance audit for a $2B retailer

EDUCATION
B.S. Cybersecurity & Information Assurance
Texas A&M University – Commerce | May 2020 | GPA: 3.81

TECHNICAL SKILLS
SIEM/SOC: Splunk, IBM QRadar, Microsoft Sentinel
Pentest: Metasploit, Burp Suite, Nmap, Kali Linux
Cloud Security: AWS Security Hub, Azure Defender
Compliance: PCI-DSS, NIST CSF, ISO 27001
Languages: Python, PowerShell, Bash

CERTIFICATIONS
• CompTIA Security+ (2020)
• CEH – Certified Ethical Hacker (2021)
• OSCP – Offensive Security Certified Professional (2023)",resume,"{""candidate_name"": ""Riya Mehta"", ""email"": ""riya.mehta@outlook.com"", ""phone"": ""(469) 555-2211"", ""address"": ""156 McKinney Avenue, Dallas, TX 75204"", ""linkedin_url"": ""linkedin.com/in/riyamehta-cy"", ""summary"": ""Cybersecurity Analyst with 4 years in threat detection, incident response, and penetration testing."", ""education"": [{""degree"": ""B.S. Cybersecurity & Information Assurance"", ""institution"": ""Texas A&M University \u2013 Commerce"", ""graduation_date"": ""2020-05-01"", ""gpa"": 3.81}], ""work_experience"": [{""title"": ""Security Analyst II"", ""company"": ""AT&T Cybersecurity"", ""start_date"": ""2021-09-01"", ""end_date"": null}, {""title"": ""Junior Security Analyst"", ""company"": ""Deloitte Cyber"", ""start_date"": ""2020-07-01"", ""end_date"": ""2021-08-01""}], ""skills"": [""Splunk"", ""Penetration Testing"", ""Python"", ""Kali Linux"", ""AWS Security""], ""certifications"": [""CompTIA Security+ 2020"", ""CEH 2021"", ""OSCP 2023""], ""languages"": [""English"", ""Hindi""]}","[{""type"": ""NAME"", ""value"": ""Riya Mehta""}, {""type"": ""EMAIL"", ""value"": ""riya.mehta@outlook.com""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(469) 555-2211""}, {""type"": ""LOCATION"", ""value"": ""156 McKinney Avenue, Dallas, TX 75204""}]",Cybersecurity analyst resume with certifications
RES008,"CURRICULUM VITAE

Prof. Samuel Adeyemi, PhD
Professor of Economics | Policy Researcher

Email: s.adeyemi@bostonuniv.edu
Phone: (617) 555-3309
Office: Boston University, 270 Bay State Road, Boston, MA 02215
LinkedIn: linkedin.com/in/prof-adeyemi

ACADEMIC POSITIONS
Full Professor of Economics | Boston University
Boston, MA | July 2019 – Present
Research focus: Development economics, Sub-Saharan Africa, fiscal policy
• Teach ECON 601 (Graduate Macroeconomics) and ECON 402 (Development Economics)
• PI on $1.2M NSF grant: ""Tax Policy and Economic Growth in Developing Economies""

Associate Professor | Georgetown University
Washington, DC | August 2013 – June 2019
• Developed graduate elective: ""Health Economics in Low-Income Countries""
• Published 18 peer-reviewed papers; h-index: 22

EDUCATION
PhD Economics | London School of Economics | 2013
MSc Development Economics | Oxford University | 2009
BSc Economics | University of Lagos | 2007 | First Class Honours

PUBLICATIONS (Selected)
[1] Adeyemi, S. (2024). ""Fiscal Multipliers in Sub-Saharan Africa."" Journal of Development Economics, 162.
[2] Adeyemi, S. & Park, K. (2023). ""Cash Transfer Programs and Child Health."" World Development, 174.
[3] Adeyemi, S. (2021). ""Currency Devaluation and Poverty Traps."" Review of Economic Studies, 88(3).

SKILLS
Research: Stata, R, Python, MATLAB, LaTeX
Languages: English (native), Yoruba (native), French (advanced)",resume,"{""candidate_name"": ""Samuel Adeyemi"", ""email"": ""s.adeyemi@bostonuniv.edu"", ""phone"": ""(617) 555-3309"", ""address"": ""Boston University, 270 Bay State Road, Boston, MA 02215"", ""linkedin_url"": ""linkedin.com/in/prof-adeyemi"", ""summary"": ""Professor of Economics with research focus on development economics, Sub-Saharan Africa, and fiscal policy."", ""education"": [{""degree"": ""PhD Economics"", ""institution"": ""London School of Economics"", ""graduation_date"": ""2013-01-01""}, {""degree"": ""MSc Development Economics"", ""institution"": ""Oxford University"", ""graduation_date"": ""2009-01-01""}], ""work_experience"": [{""title"": ""Full Professor of Economics"", ""company"": ""Boston University"", ""start_date"": ""2019-07-01"", ""end_date"": null}, {""title"": ""Associate Professor"", ""company"": ""Georgetown University"", ""start_date"": ""2013-08-01"", ""end_date"": ""2019-06-01""}], ""skills"": [""Stata"", ""R"", ""Python"", ""MATLAB"", ""LaTeX"", ""Economics Research""], ""certifications"": [], ""languages"": [""English"", ""Yoruba"", ""French""]}","[{""type"": ""NAME"", ""value"": ""Samuel Adeyemi""}, {""type"": ""EMAIL"", ""value"": ""s.adeyemi@bostonuniv.edu""}, {""type"": ""PHONE_NUMBER"", ""value"": ""(617) 555-3309""}, {""type"": ""LOCATION"", ""value"": ""270 Bay State Road, Boston, MA 02215""}]",Academic economics professor CV with publications
